# timestamp tx ty tz qx qy qz qw
4.640080002999999564e+00 -4.541118636859376584e-02 -3.642965701837189152e-02 7.631952266270145557e-01 -1.457290470934817783e-01 3.529829785237338369e-01 3.537014016354386170e-01 8.538507350093050841e-01 
4.740079999999999849e+00 -3.667258299141475802e-02 -6.164225441967891711e-03 7.562464269461075528e-01 -1.458858278857981527e-01 3.528026204699692969e-01 3.561296173062720172e-01 8.528886383215298350e-01 
4.840040001000000203e+00 -3.410436252162840631e-02 -1.452435165815387300e-02 7.531882951937786119e-01 -1.459075710368018530e-01 3.539805914985932334e-01 3.553036785753443949e-01 8.527412943187054895e-01 
4.940040000999999847e+00 -3.996523014283175079e-02 -1.697921174175257009e-02 7.541317032674258458e-01 -1.451428604463290417e-01 3.540516928394875085e-01 3.559355486514311773e-01 8.525787538721685266e-01 
5.040040001000000380e+00 -1.965821008920526358e-02 -6.521688125349778611e-03 7.555906227949663601e-01 -1.462655113205125201e-01 3.542799834351391675e-01 3.555027921777357269e-01 8.524726129197608415e-01 
5.140200001000000185e+00 1.273183535180493764e-01 1.016979944835371963e-01 7.552737864583084493e-01 -1.476683339511463688e-01 3.539245620452367014e-01 3.592304981284268894e-01 8.508140891126828587e-01 
5.240440000999999626e+00 3.402713644149885086e-01 2.962630801277800763e-01 7.480789072534611561e-01 -1.418866498309853119e-01 3.569331548431470824e-01 3.453133987432246421e-01 8.562857325162688271e-01 
5.340559998999999891e+00 5.655770391507358719e-01 5.334527691466720567e-01 7.544400392615717710e-01 -1.347355976135030386e-01 3.582283802187982702e-01 3.243282387497818942e-01 8.650604819202386553e-01 
5.440760000000000041e+00 7.604300021258399989e-01 7.168358169813008329e-01 7.603448467651977571e-01 -1.247442826553725737e-01 3.606998642659509091e-01 3.020780200271874771e-01 8.735462432915828135e-01 
5.541000000000000369e+00 9.164770004604385623e-01 8.494303570426491312e-01 7.701683371839803671e-01 -1.106648873479780804e-01 3.642498557268906700e-01 2.702576945370324668e-01 8.843278811299507547e-01 
5.641120000999999995e+00 1.063743039090408127e+00 9.706502965232430835e-01 7.777814210440271436e-01 -9.387399775722758688e-02 3.690775479922700497e-01 2.268453950098848482e-01 8.963873606677859041e-01 
5.741360001000000324e+00 1.189877529458532646e+00 1.027311301420906986e+00 7.795104138247318515e-01 -6.831955074231757519e-02 3.746118309735772534e-01 1.686997297075293334e-01 9.091416357018627936e-01 
5.841599999999999682e+00 1.304032964648760284e+00 1.051194392474239514e+00 7.771357790122360720e-01 -3.355237513599373944e-02 3.799544052220243384e-01 8.330025572086136032e-02 9.206354614944028958e-01 
5.941760000000000375e+00 1.422638402406203317e+00 1.086492797160827584e+00 7.672949569140836701e-01 5.969064772879712974e-03 3.828108352691248495e-01 -1.824411824908161658e-02 9.236271348897592270e-01 
6.041959999000000359e+00 1.525822530446597103e+00 1.054848111879091999e+00 7.555338262294984952e-01 5.772878770075310501e-02 3.793598733365449172e-01 -1.359964634632031266e-01 9.133773223521830520e-01 
6.170119999999999827e+00 1.662982379008327127e+00 9.554183709672530167e-01 7.481752792732950796e-01 1.218977678925931146e-01 3.648180093090911957e-01 -2.886815713357497315e-01 8.767618845084091950e-01 
6.280240001000000127e+00 1.758945691858725624e+00 8.606105155024759146e-01 7.569547693444591552e-01 1.644073705649166106e-01 3.457891193428643817e-01 -3.958718812642665341e-01 8.346767353660733413e-01 
6.380480000000000373e+00 1.837319700009165446e+00 7.317493492049330639e-01 7.620633437390461618e-01 1.926672031303350019e-01 3.295461505389506440e-01 -4.710088118716710959e-01 7.952540978399218474e-01 
