# timestamp tx ty tz qx qy qz qw
1.999599989999999994e-01 3.272201213699358485e-02 1.372077040138143522e-01 8.035889075787940872e-01 -1.456364341759697201e-01 3.574837287398846541e-01 3.535085747100289444e-01 8.520722389171123679e-01 
2.999599990000000327e-01 2.387927831494022352e-02 -1.452754290205869325e-01 7.651622878654846804e-01 -1.488502550568196192e-01 3.563699865081821350e-01 3.496370088013052713e-01 8.535795196477909963e-01 
3.999599990000000105e-01 5.500104708216123350e-02 -9.808221868602584603e-03 7.785035797389293633e-01 -1.528493521336458105e-01 3.520520453484051737e-01 3.680767290420503546e-01 8.468860339243022839e-01 
4.999599990000000438e-01 6.384435504045840593e-02 4.309093337983286448e-02 7.867054962733953660e-01 -1.442352656229713703e-01 3.578126656681331341e-01 3.451407468084020658e-01 8.555957861809945220e-01 
5.999599990000000771e-01 3.126959571056584647e-02 5.372605373059606559e-02 7.809745496041107238e-01 -1.502110751767783692e-01 3.533474306682310440e-01 3.599986901604707579e-01 8.502841696851360931e-01 
6.999599990000000549e-01 2.607168851762351608e-02 5.381380920018667691e-02 7.839162637393581878e-01 -1.453523266435869099e-01 3.572380116640255787e-01 3.483655278994213234e-01 8.543390211929846600e-01 
7.999599990000000327e-01 2.453427975536935993e-02 4.682713414332841106e-02 7.795077912127253983e-01 -1.464585191979247136e-01 3.555228426615772430e-01 3.516594870239544424e-01 8.535156798127564448e-01 
8.999599990000000105e-01 2.627657398079478318e-02 4.462938962008008992e-02 7.810380426627618888e-01 -1.473466234016059806e-01 3.559328149438262257e-01 3.524275163108813724e-01 8.528749319596939937e-01 
9.999599990000000993e-01 2.919847843046809860e-02 4.438920972552762301e-02 7.803617234086303034e-01 -1.460645518506707430e-01 3.564698967246044958e-01 3.518036470775094959e-01 8.531286850908107455e-01 
1.099959998999999966e+00 3.240576019869371993e-02 4.025454901233699312e-02 7.861489006083696163e-01 -1.477761527977460021e-01 3.554069017394310692e-01 3.527811369488491056e-01 8.528737375915340646e-01 
1.199959999000000055e+00 3.205746381014209362e-02 3.691395605987443651e-02 7.780471966379340909e-01 -1.465439995210860158e-01 3.550410247187368307e-01 3.531239068671954695e-01 8.530968487633051600e-01 
1.299959998999999922e+00 2.871196483215348455e-02 3.768057403593323695e-02 7.715453142305769285e-01 -1.468809056934575197e-01 3.546220060213441938e-01 3.537107284863832968e-01 8.529700774011356179e-01 
1.399879996999999987e+00 3.298551729507221558e-02 3.614021367011883978e-02 7.719818451687358030e-01 -1.466646431292286112e-01 3.546341536352142221e-01 3.533482883687400489e-01 8.531524404454887689e-01 
