# timestamp tx ty tz qx qy qz qw
2.999599990000000327e-01 5.190747147123953714e-02 1.072295305888007200e-01 7.993604988092890551e-01 -1.451317218412577215e-01 3.575555728352621254e-01 3.513838704425205628e-01 8.530065481827635576e-01 
3.999599990000000105e-01 -5.812815509147890337e-03 -7.655423669127736641e-02 7.723321038195262167e-01 -1.509024782752123595e-01 3.558131343045780604e-01 3.558665205234597950e-01 8.508727725560840671e-01 
4.999599990000000438e-01 7.168340685582952343e-02 5.730855697576042740e-02 7.853066816992324561e-01 -1.470088088800077797e-01 3.554028592250282892e-01 3.550385018792295289e-01 8.520709359846211361e-01 
5.999599990000000771e-01 4.473895401722299131e-02 5.870909043891302248e-02 7.737986694478723448e-01 -1.457683660563190986e-01 3.527088358427151182e-01 3.518082676050499624e-01 8.547391434937803290e-01 
6.999599990000000549e-01 3.148830268109641117e-02 4.075092391840972467e-02 7.838107236668487854e-01 -1.478141155072506818e-01 3.573498848236341119e-01 3.527726185786846935e-01 8.520584056591908872e-01 
7.999199980000000210e-01 3.435501851573318638e-02 4.082932376308719136e-02 7.810782542516035987e-01 -1.469319932320016231e-01 3.553621556252583025e-01 3.520073510351384161e-01 8.533578103770220746e-01 
8.999599990000000105e-01 2.672186025814702118e-02 4.041949687153931908e-02 7.776391501051693744e-01 -1.465074187414839024e-01 3.562262680183420072e-01 3.529671252468583043e-01 8.526738126167594523e-01 
9.999599990000000993e-01 2.280393821900891099e-02 3.609847863678536384e-02 7.784549031703238420e-01 -1.469876028297000536e-01 3.554764359417334485e-01 3.527831407432771571e-01 8.529801895189889072e-01 
1.099959998999999966e+00 2.441503167179654918e-02 3.855374218452765900e-02 7.803104168350313286e-01 -1.471034073556008182e-01 3.559073098402332769e-01 3.525268164133303905e-01 8.528865212067442414e-01 
1.199959999000000055e+00 2.545957545717762033e-02 4.327877741612035783e-02 7.806681787740319400e-01 -1.468143821340275323e-01 3.551551288230863079e-01 3.522145473016576878e-01 8.533787461252764217e-01 
1.299959998999999922e+00 2.731831022485265228e-02 4.080818446326339721e-02 7.784907679882968612e-01 -1.469699059299386379e-01 3.551988530722188786e-01 3.531023270258640823e-01 8.529668036776372197e-01 
1.399959999000000010e+00 3.491353317984401822e-02 3.857057454997005197e-02 7.804390404074375009e-01 -1.470153967562083386e-01 3.557397968693736812e-01 3.529781053281569880e-01 8.527849243501528509e-01 
1.499959999000000099e+00 3.169611473977611976e-02 3.767982498692358517e-02 7.798478144254580302e-01 -1.473804102621271428e-01 3.557994844326220485e-01 3.525873412306850252e-01 8.528586684511824112e-01 
1.599959999000000188e+00 3.510736232288388936e-02 3.289492656733027098e-02 7.789196866002628949e-01 -1.472410679559823798e-01 3.557190815436826470e-01 3.531599271755204716e-01 8.526793469823704674e-01 
1.699879997000000031e+00 3.504726894253896996e-02 3.520889029092001687e-02 7.806343157837729585e-01 -1.475268295646988970e-01 3.554709002785566563e-01 3.532237171675648990e-01 8.527070301364172433e-01 
1.799959998999999922e+00 3.502929934210163160e-02 3.126431668755990517e-02 7.790218057218990522e-01 -1.472121518543979268e-01 3.551135426518420291e-01 3.537181505503885215e-01 8.527053559951812689e-01 
1.899879997000000209e+00 3.447604295808688601e-02 3.461760282381620007e-02 7.764276434137972194e-01 -1.468814367455286429e-01 3.545875799737787104e-01 3.531004175540758960e-01 8.532371222532723065e-01 
1.999959999000000099e+00 3.010151957122861321e-02 3.692717587044641592e-02 7.811506513680209762e-01 -1.469059271364547004e-01 3.556606175160167416e-01 3.530800239793015494e-01 8.527946238028707437e-01 
2.099959999000000188e+00 2.840154963800896673e-02 3.733063566068051814e-02 7.815108987778478511e-01 -1.468091534707382240e-01 3.561725658600463085e-01 3.524277108956018201e-01 8.528674483052818278e-01 
2.199959998999999833e+00 3.323746703457043650e-02 3.404372544312064125e-02 7.790648448938138904e-01 -1.470512869251745791e-01 3.555089446353677518e-01 3.535699071415092654e-01 8.526298317921099379e-01 
2.299959998999999922e+00 3.141697537451786787e-02 3.520474804996379103e-02 7.795736701978475125e-01 -1.468664687920266665e-01 3.555358774066456062e-01 3.529738396419918045e-01 8.528973846540022219e-01 
2.399959999000000010e+00 3.034554722397794779e-02 3.690453664567164282e-02 7.800706393794624161e-01 -1.474029492613652959e-01 3.552652772120929447e-01 3.527971736707918304e-01 8.529906843608359157e-01 
2.499839995999999953e+00 2.937359088615066477e-02 3.884194490063545835e-02 7.827360359630618492e-01 -1.466381043474505874e-01 3.555318780231152553e-01 3.530364037070874428e-01 8.529124502082903181e-01 
2.599959999000000188e+00 3.056577155160848311e-02 3.800168416337835336e-02 7.788557329638784443e-01 -1.467319141398830962e-01 3.551675916722436543e-01 3.523833547772720620e-01 8.533180523547475582e-01 
2.699919997999999932e+00 3.082300579232053264e-02 3.665706728822221844e-02 7.762602664381939022e-01 -1.467102583345077094e-01 3.555001790369309300e-01 3.521282188675389224e-01 8.532886031591577769e-01 
2.799959998999999922e+00 3.522999852526535053e-02 4.091636467687076451e-02 7.778547656750587347e-01 -1.469807663243593854e-01 3.555859316382207758e-01 3.532627253365384079e-01 8.527372083118480717e-01 
2.899959999000000010e+00 3.306149066180235491e-02 4.545109084071070199e-02 7.775746406855588155e-01 -1.470110305056734068e-01 3.553224580462588378e-01 3.527483705021151050e-01 8.530546845459128225e-01 
