# timestamp tx ty tz qx qy qz qw
1.999599989999999994e-01 9.318331163490049807e-02 1.475570085444538049e-01 8.135474825204753735e-01 -1.299579815890044288e-01 3.340391138258310688e-01 3.757083634748659140e-01 8.546180544961612391e-01 
2.999599990000000327e-01 4.190050978711062912e-02 -1.223207360593183690e-01 7.043808189201044012e-01 -1.610934442341735162e-01 3.600801689852192733e-01 3.325621350285866140e-01 8.566175345354397619e-01 
3.999599990000000105e-01 3.320561199076359216e-02 -3.846528845982022382e-02 7.584040587050431270e-01 -1.455124023116303178e-01 3.442041602353760332e-01 3.721280382759262206e-01 8.496295427885431906e-01 
4.999599990000000438e-01 4.590919985979897283e-02 2.338881247489484408e-02 7.778554404889219676e-01 -1.465000484784472756e-01 3.535498841711945395e-01 3.613260962993792846e-01 8.502844625955475744e-01 
5.999599990000000771e-01 4.442390349779648528e-02 5.021100575552939205e-02 7.860348095445094385e-01 -1.460062791346344591e-01 3.585210002434277565e-01 3.469318534490720141e-01 8.542734620132496071e-01 
6.999199980000000432e-01 3.639954440149097831e-02 4.503017773982423422e-02 7.875784724055208130e-01 -1.484515028813825632e-01 3.554191479704974510e-01 3.544034462806925356e-01 8.520783871291142120e-01 
7.999199980000000210e-01 3.004784631360503389e-02 4.390576692101604700e-02 7.855580938244856037e-01 -1.474827982201235566e-01 3.561800075934359322e-01 3.526821413358315893e-01 8.526429109555037078e-01 
8.999199980000001098e-01 2.537723142158353207e-02 4.617420725954485966e-02 7.819526613019488481e-01 -1.468112879253859471e-01 3.569851466065900869e-01 3.516000457930236744e-01 8.528689574830966569e-01 
9.999599990000000993e-01 2.571203017687725273e-02 4.461378293629114644e-02 7.806067789867985329e-01 -1.465796170338658222e-01 3.554793110480834462e-01 3.521536816442942253e-01 8.533092404230450123e-01 
1.099959998999999966e+00 2.699058384933203381e-02 4.089137678331555142e-02 7.814624300753527653e-01 -1.474765537485010214e-01 3.554599846894844761e-01 3.527153506403423178e-01 8.529306811234294017e-01 
1.199879997000000031e+00 2.930933051055480826e-02 4.255617102847916028e-02 7.787591760546502817e-01 -1.468172673422721008e-01 3.554175537617899061e-01 3.522585136666332994e-01 8.532508377010287193e-01 
1.299919998000000021e+00 3.041949491870367742e-02 3.542472761470005782e-02 7.790139402020065384e-01 -1.462603833957290822e-01 3.563571014562024741e-01 3.529074243211056117e-01 8.526862649003509320e-01 
1.399959999000000010e+00 3.298462579208868983e-02 3.448195326153937618e-02 7.794120924666091410e-01 -1.478926050691887761e-01 3.543702980237368183e-01 3.531634270873583170e-01 8.531266394928299635e-01 
1.499959999000000099e+00 3.364959184726450808e-02 3.298982115220876199e-02 7.794327274470204125e-01 -1.468622900296658595e-01 3.562673908677095325e-01 3.535895954024376175e-01 8.523376162030498193e-01 
1.599959999000000188e+00 3.376088333066623592e-02 3.245918481047441878e-02 7.793436818923796805e-01 -1.475850115232095472e-01 3.553311419628414347e-01 3.533247342615705167e-01 8.527133610329250546e-01 
1.699879997000000031e+00 3.383113975896209075e-02 3.482712399558694771e-02 7.817004977938767363e-01 -1.474508616095644709e-01 3.557878811353053505e-01 3.529105839309996107e-01 8.527176243032202896e-01 
1.799959998999999922e+00 3.237414924775736114e-02 3.492021164316190529e-02 7.792310167355590567e-01 -1.469454071306335319e-01 3.556350224920865055e-01 3.531381489227377601e-01 8.527744284836922262e-01 
1.899919998000000110e+00 3.182776141505833101e-02 3.665244703733416126e-02 7.827830003057341113e-01 -1.475231104382893621e-01 3.554706304028798503e-01 3.528427588273242432e-01 8.528654937038514516e-01 
1.999959999000000099e+00 3.003778084466543485e-02 4.009541283846728560e-02 7.739594470116454294e-01 -1.469016475122637000e-01 3.551872124239969786e-01 3.531402272362743067e-01 8.529677191993644270e-01 
2.099839996000000042e+00 3.570542371204766391e-02 3.563850861001775783e-02 7.739499989952628445e-01 -1.473647320900640656e-01 3.546853887710693654e-01 3.533358362442530765e-01 8.530156490674210001e-01 
2.199959998999999833e+00 3.714070113489156832e-02 3.618222737601866495e-02 7.748058041795614637e-01 -1.468707340457201804e-01 3.549062433051543008e-01 3.536159091210877015e-01 8.528929210401272609e-01 
2.299959998999999922e+00 3.826012339625187164e-02 3.345501614776684451e-02 7.767705021591274628e-01 -1.471471305427650977e-01 3.551727596934945996e-01 3.537125703954405731e-01 8.526942302425812859e-01 
2.399959999000000010e+00 3.919910738601836697e-02 2.994295933336189527e-02 7.757467033673156598e-01 -1.468410692281077734e-01 3.545879949481547944e-01 3.540781684887048808e-01 8.528386159328609217e-01 
2.499919998000000199e+00 3.294465206379281613e-02 2.984493078298522395e-02 7.764656077061878880e-01 -1.472390865691054485e-01 3.547843234675426838e-01 3.535914433253492528e-01 8.528902780634034508e-01 
2.599959999000000188e+00 3.353325635109008496e-02 3.154177327969796135e-02 7.753346474561924051e-01 -1.467057547450462407e-01 3.548102132707053324e-01 3.529761373124246648e-01 8.532262188725117102e-01 
2.699959998999999833e+00 3.233166182769129510e-02 3.863598296397202647e-02 7.761754597334592498e-01 -1.468787265175154899e-01 3.552258370913405905e-01 3.525787450466706385e-01 8.531878297893518148e-01 
2.799919998000000021e+00 3.711913988523229263e-02 3.168520286330899632e-02 7.774143284323904446e-01 -1.469760632298695580e-01 3.554944776462931610e-01 3.532643699555663708e-01 8.527754675882366353e-01 
2.899959999000000010e+00 3.761628020330411853e-02 2.593442287012008574e-02 7.739820432097735958e-01 -1.471182662832262178e-01 3.548193117537096208e-01 3.543399415345865888e-01 8.525858769447846042e-01 
