# timestamp tx ty tz qx qy qz qw
4.740040000999999670e+00 -5.907726868815237065e-02 -2.165001866978120970e-02 7.624933702656579992e-01 -1.442636462573173850e-01 3.530680108527803340e-01 3.568239471373658156e-01 8.527645327517895391e-01 
4.963000000000000078e+00 -6.062471795752303466e-02 -1.119611411628591152e-02 7.626054696849611236e-01 -1.477410076007749651e-01 3.520173117024807397e-01 3.569979783484408253e-01 8.525306726910507615e-01 
5.120040000000000369e+00 3.433959609519750961e-02 8.826979096059761609e-02 7.549764699725489692e-01 -1.495641427807602175e-01 3.530124737821310754e-01 3.588479962198665163e-01 8.510232509435489145e-01 
5.220399999999999707e+00 2.151462031518947549e-01 2.188131882727106792e-01 7.493512894296422422e-01 -1.449408366022333916e-01 3.554658044724827715e-01 3.491850153134244406e-01 8.548132768654228553e-01 
5.340040001000000203e+00 3.527827811648318046e-01 3.817560488657761875e-01 7.551789674994929813e-01 -1.421855166445818164e-01 3.548835175331737091e-01 3.450112427396804793e-01 8.572093721559973512e-01 
5.470240000999999630e+00 4.948876598316279685e-01 5.207639108495734082e-01 7.591426676521062511e-01 -1.361004305185584962e-01 3.563037251986146958e-01 3.346525314752866187e-01 8.617027961475457465e-01 
5.570479999999999876e+00 6.079675741668977285e-01 6.006803626036950616e-01 7.668421776558106417e-01 -1.327955748613142417e-01 3.578790498748033455e-01 3.194852291036929803e-01 8.673043334560172068e-01 
5.820040000000000546e+00 8.902064547709632736e-01 7.743268226450233938e-01 7.747264218861685814e-01 -1.105023570144809675e-01 3.647043849942770977e-01 2.719291318485602127e-01 8.836482249183464921e-01 
6.009999999999999787e+00 1.013052757331495357e+00 9.055934200850417337e-01 7.779584075304373236e-01 -9.251061932718500358e-02 3.696111621136131120e-01 2.261716566110989757e-01 8.964794773934208205e-01 
6.110239999000000033e+00 1.118863023170942661e+00 9.537227099168462674e-01 7.765177779092291566e-01 -7.650588577087380493e-02 3.734578873395131282e-01 1.851213468494671277e-01 9.057625738878956057e-01 
6.240040000999999670e+00 1.252654701178869567e+00 9.850333989279422831e-01 7.662668663969218752e-01 -5.063537294612126954e-02 3.794722359197121864e-01 1.209748465230290893e-01 9.158611604225258551e-01 
6.520039999999999836e+00 1.459640519381232959e+00 1.021106231824078447e+00 7.623925512585744135e-01 2.638781168211944833e-02 3.805496846705924696e-01 -7.123426885104230943e-02 9.216349588215849709e-01 
6.660119998999999957e+00 1.570632207765060295e+00 9.732395221967170551e-01 7.591326861241385338e-01 7.158196792814405796e-02 3.759414942349613709e-01 -1.764222897343390162e-01 9.068731377397155624e-01 
