# timestamp tx ty tz qx qy qz qw
4.693040000999999961e+00 -3.046210587439125358e-02 1.032039428856702107e-03 7.327598111551927307e-01 -1.476254659824122184e-01 3.558592256586168845e-01 3.556762353181106007e-01 8.515075140162454703e-01 
4.790120003000000182e+00 -1.400750166876673329e-02 -3.890526733423533418e-02 7.495679118508175032e-01 -1.471750376928030457e-01 3.542769850752700012e-01 3.519457878676404139e-01 8.537922382039958569e-01 
4.920040000000000191e+00 -5.069105375295492044e-02 -9.283318963748416613e-03 7.579780997517350238e-01 -1.463096209090553879e-01 3.531992372642880906e-01 3.557764302226917308e-01 8.527992863578358618e-01 
5.062999999999999723e+00 -5.021701658345902736e-02 3.146329702757200142e-02 7.642547422475948204e-01 -1.493819140024763015e-01 3.518638545322959610e-01 3.596289702324120818e-01 8.512012528781129905e-01 
5.170119999999999827e+00 1.550691084881574144e-01 1.616002523902871635e-01 7.600800734275361403e-01 -1.467540387362182286e-01 3.529419199044636080e-01 3.524189481357444809e-01 8.542223573360256950e-01 
5.270400000999999612e+00 3.341386314598551732e-01 3.307150891644002333e-01 7.532031388443021225e-01 -1.441566893911263858e-01 3.545240518482544179e-01 3.436700261469415318e-01 8.575675811165609508e-01 
5.370759998999999674e+00 4.841210292583285058e-01 4.756619158252207713e-01 7.592059977633254242e-01 -1.389855578550163451e-01 3.554148599753712001e-01 3.342414096349315966e-01 8.617689189050239396e-01 
5.471080000999999804e+00 6.138851922044122889e-01 5.977312468857929328e-01 7.636780907595548396e-01 -1.321545582559877641e-01 3.574860881258741241e-01 3.219723484875902653e-01 8.666443179454142998e-01 
5.580160001000000314e+00 7.304031685384249073e-01 7.140423681502231501e-01 7.727272226087089635e-01 -1.253687313488731636e-01 3.587725028248804349e-01 3.036916764806790181e-01 8.736910412395004766e-01 
5.680480000000000196e+00 8.584353772842819863e-01 8.115476600256438244e-01 7.792478536715248261e-01 -1.141806116982602148e-01 3.629369399498929005e-01 2.779125698563823521e-01 8.820452746525557775e-01 
