# timestamp tx ty tz qx qy qz qw
4.703040000999999748e+00 -5.077886469704322170e-02 1.109124416694442193e-02 7.345788874435482674e-01 -1.472667017182663352e-01 3.561031332456614518e-01 3.589833584595158444e-01 8.500786568876060878e-01 
4.800120002999999969e+00 -2.293051152520680924e-02 -2.035386096207090351e-02 7.446809673036406396e-01 -1.490746705306126574e-01 3.540732461473949932e-01 3.535331352663563798e-01 8.528909066971220865e-01 
4.900120002999999613e+00 -1.764383404211651921e-02 -2.297610348041073322e-02 7.510028276869245012e-01 -1.477090444339712039e-01 3.537499831948586193e-01 3.536597553411510164e-01 8.532100928394726891e-01 
5.000120003000000146e+00 -1.199939754036155257e-02 -2.575160654291312051e-02 7.606466342602383746e-01 -1.458713890650705780e-01 3.525043210939357019e-01 3.532184289303397229e-01 8.542240223825227075e-01 
5.100200002000000232e+00 5.769634729196804201e-02 2.408685489611399333e-02 7.539308312939780876e-01 -1.466437674443124839e-01 3.539401911812866119e-01 3.508335562595027990e-01 8.544808130248836564e-01 
5.200399999000000051e+00 1.628885466948782335e-01 1.293760831180114368e-01 7.552390351671427471e-01 -1.443147807493341817e-01 3.552642504558054526e-01 3.493781696922492741e-01 8.549240600409511170e-01 
5.300639999999999574e+00 2.713177576499845034e-01 2.410016843481052606e-01 7.529859075111582367e-01 -1.440215422399990508e-01 3.548206093096561431e-01 3.456054896017199396e-01 8.566893682229023144e-01 
5.400960000000000427e+00 3.705116402519643692e-01 3.497078310491097963e-01 7.580085279244767049e-01 -1.412809849445726684e-01 3.546755078104544268e-01 3.419376480185548628e-01 8.586753226971711728e-01 
5.501200002000000033e+00 4.571668305569098201e-01 4.399070861860930326e-01 7.654906673358569114e-01 -1.384593455030204423e-01 3.551517380031903315e-01 3.365971284864954782e-01 8.610449019766025502e-01 
5.601360001999999838e+00 5.356403210307442153e-01 5.198498220570996198e-01 7.692808223513046828e-01 -1.352907342911481292e-01 3.558349076006953604e-01 3.286498240790753922e-01 8.643303340561535597e-01 
5.701640000000000263e+00 6.259252904968973796e-01 6.078567271205268518e-01 7.761533753729551455e-01 -1.295369099356147025e-01 3.583055331318420467e-01 3.178610687758141040e-01 8.682173531652087606e-01 
5.801879998000000427e+00 7.045591844343848109e-01 6.749587639591245747e-01 7.757826294254753785e-01 -1.253377179241934314e-01 3.595332738665207306e-01 3.062115256298576504e-01 8.725024243570193017e-01 
5.902120000000000033e+00 7.791859803612671831e-01 7.364633302360005240e-01 7.742763724912214984e-01 -1.197247736522473183e-01 3.618634347128242279e-01 2.915776844641329024e-01 8.773271821865289422e-01 
6.002360001999999639e+00 8.535453044925945809e-01 7.970350838749060696e-01 7.736079733362234423e-01 -1.129652306947433738e-01 3.639781032528258131e-01 2.751452161241782490e-01 8.826401330891345820e-01 
6.102520001000000249e+00 9.210693247686516649e-01 8.509032102155443811e-01 7.744896348133781805e-01 -1.064711549754933234e-01 3.657853495604162508e-01 2.556190060948410059e-01 8.885514011115512867e-01 
6.202799999999999869e+00 1.007632458785696850e+00 8.953603222462874767e-01 7.718245880319878349e-01 -9.598964146404996567e-02 3.685595303177505722e-01 2.300294397528801216e-01 8.955646351211087319e-01 
6.303079999000000377e+00 1.090302160392956576e+00 9.210165979396557345e-01 7.685604767441720497e-01 -8.361948903105298481e-02 3.713629961312164829e-01 2.022806978798097344e-01 9.023189696071753918e-01 
6.403360002000000328e+00 1.166676693212224114e+00 9.430423442637220210e-01 7.717603383585862620e-01 -6.949252250354481797e-02 3.750517434669792816e-01 1.648979270082950310e-01 9.095687715593064882e-01 
6.503639999999999866e+00 1.237769244379054223e+00 9.708574081359442332e-01 7.704228339530947434e-01 -5.136857187532799934e-02 3.777565200279179303e-01 1.240252261027263575e-01 9.161215651752336875e-01 
6.603959999999999830e+00 1.302374997184360339e+00 1.000962691716344777e+00 7.649263550878996343e-01 -3.199623786720525581e-02 3.802776654649768773e-01 7.762677728797000298e-02 9.210531574495588458e-01 
6.740120001000000194e+00 1.387765824094485678e+00 1.009313533799959473e+00 7.674210811649589958e-01 -2.376815276410340801e-03 3.825268255136739515e-01 3.973521055824835030e-03 9.239326204497037009e-01 
6.850119999000000348e+00 1.462641556113581487e+00 1.016445126669250021e+00 7.657643025903615452e-01 2.568468474476133176e-02 3.814809087093428142e-01 -6.219261920090560225e-02 9.219242858640034344e-01 
6.950360000999999954e+00 1.524488975071405017e+00 1.018590985727103160e+00 7.670933494373873840e-01 5.249866252390266580e-02 3.784422489663163969e-01 -1.286970123215000761e-01 9.151295706833553201e-01 
7.050679999999999836e+00 1.576475534016276825e+00 9.933669701691207887e-01 7.662390647217676154e-01 8.029539467157756349e-02 3.727569384567193111e-01 -1.928141152452911566e-01 9.041168778859014488e-01 
7.152960000000000207e+00 1.630405590597151066e+00 9.676662356985852309e-01 7.684408784220696509e-01 1.072537125118915996e-01 3.665712514877882411e-01 -2.580941612609986002e-01 8.874171849514415067e-01 
7.363000000000000433e+00 1.718915487590981339e+00 8.679218790946294781e-01 7.696683437624156632e-01 1.542554738509796797e-01 3.487340519511994419e-01 -3.733217024406366158e-01 8.457070496174197149e-01 
7.473000000999999948e+00 1.792612421486862395e+00 8.066423423126219960e-01 7.624288945505570680e-01 1.730389699443391771e-01 3.399166469926042655e-01 -4.205168489870084181e-01 8.232128917752764563e-01 
