# timestamp tx ty tz qx qy qz qw
4.693040000999999961e+00 -3.764286783764184685e-01 -3.583443217514674650e-01 4.847629981603531757e-01 2.698527229151901925e-03 4.145823885490508803e-04 9.227924871687255282e-01 -3.852878706400796882e-01 
4.790120003000000182e+00 -3.690251429734539568e-01 -3.925840703120138664e-01 5.013548787296953080e-01 2.288091330130421878e-04 1.252018840145460721e-03 9.244218263675192393e-01 -3.813696875680043230e-01 
4.890120002999999826e+00 -3.684259275709858006e-01 -3.951515096407809957e-01 5.034671765418088363e-01 3.878067261233249675e-04 -2.608894374745162164e-05 9.246943967037614120e-01 -3.807102483453121411e-01 
4.990120003000000359e+00 -3.661770411799149527e-01 -3.909767705841302177e-01 5.094129660327209042e-01 -9.039271985206577108e-04 -9.306519100648839166e-04 9.247864933940674881e-01 -3.804844674933782755e-01 
5.090120003000000004e+00 -3.172115098331782512e-01 -3.574796146681732401e-01 5.088152155873995053e-01 1.324645078989717111e-04 1.019930322916026168e-05 9.254575050290551053e-01 -3.788516336241616878e-01 
5.190120002999999649e+00 -2.382232265486816103e-01 -2.664958111359371773e-01 5.066001664682142636e-01 -1.857406569389989616e-04 -1.134068732666645383e-04 9.255016300278174901e-01 -3.787437880946887825e-01 
5.290160001000000278e+00 -1.554930303418126658e-01 -1.724150768951100143e-01 5.056009023482254117e-01 -4.402179478993935974e-04 8.805558466226847064e-04 9.258932805810105027e-01 -3.777841121191621854e-01 
5.390120002999999826e+00 -8.924447300881560574e-02 -8.186843633073126458e-02 5.081395640746916298e-01 -1.358565120972003194e-03 -5.777475621646857703e-04 9.263831152817204595e-01 -3.765797602031619729e-01 
5.490160000999999568e+00 -2.488686385410115998e-02 -2.731530910325130623e-03 5.098819368690350462e-01 -1.602545160796065623e-03 -2.008559358920496227e-04 9.272517856325200869e-01 -3.744351600909999744e-01 
5.590360001999999717e+00 3.362371427145172120e-02 5.964152877589945501e-02 5.117349846079599640e-01 -1.509395194661875992e-03 1.327217065025264092e-04 9.296120725525465200e-01 -3.685366606469763773e-01 
