# timestamp tx ty tz qx qy qz qw
4.693040000999999961e+00 -2.861048785809707645e-02 4.304138074088300486e-04 7.345697194381970441e-01 -1.481554001673444088e-01 3.549909567147221390e-01 3.553481902897754896e-01 8.519147605241188526e-01 
4.790120003000000182e+00 -1.442501145000150975e-02 -4.152247124231848302e-02 7.508167180041831479e-01 -1.469053182567804650e-01 3.542717925109952759e-01 3.515175767356923942e-01 8.540172218602219978e-01 
4.890120002999999826e+00 -1.327802426765250891e-02 -4.102987779314764410e-02 7.521330280695927017e-01 -1.460835682513173805e-01 3.542681170683278369e-01 3.516079818103268195e-01 8.541224835655348846e-01 
4.990120003000000359e+00 -5.795960602544678389e-03 -3.748405268723735417e-02 7.576053106476733356e-01 -1.452980011612926281e-01 3.529585128049157472e-01 3.519993849928670371e-01 8.546372970744862130e-01 
5.110000000000000320e+00 1.180725035403664379e-02 2.700865133996428052e-02 7.606944605210939070e-01 -1.484680304304690501e-01 3.520607270495135221e-01 3.559223854674826160e-01 8.528361163914583987e-01 
5.260200000000000209e+00 8.755729219443973699e-02 1.171303051583523908e-01 7.570944892597030185e-01 -1.461230108091318147e-01 3.527587537288537911e-01 3.547895076816321436e-01 8.534245309972212645e-01 
5.360560000000000436e+00 1.575116802335964628e-01 1.744024195915844511e-01 7.564604893837495458e-01 -1.450232306344436950e-01 3.529670985738379563e-01 3.525790438504488589e-01 8.544414580457105890e-01 
5.460840000000000138e+00 2.171162119046573802e-01 2.266890575030872934e-01 7.551136050055266002e-01 -1.433983375466026666e-01 3.549140598166762861e-01 3.507671441633383180e-01 8.546549215899194030e-01 
5.561199999000000282e+00 2.638933639047247315e-01 2.746364546631814840e-01 7.561982470848259696e-01 -1.430271357983549096e-01 3.544092892670990813e-01 3.483620429703563892e-01 8.559093869172639257e-01 
5.661400000000000432e+00 3.230567195833410898e-01 3.254615367565264483e-01 7.612651328166600839e-01 -1.412082206268900908e-01 3.555902754488180495e-01 3.459919193572952301e-01 8.566826038050108227e-01 
5.761639999999999873e+00 3.823365501282419143e-01 3.767064039019265564e-01 7.676825818719982264e-01 -1.406741294972724543e-01 3.551116862524492657e-01 3.420893840260869623e-01 8.585342336813567288e-01 
5.861799999999999677e+00 4.212908821629479106e-01 4.143295475979850151e-01 7.703079682086779734e-01 -1.401247985610377111e-01 3.549248033882140274e-01 3.376888547159535015e-01 8.604413749104292686e-01 
5.962039998999999924e+00 4.693434511641880746e-01 4.624794436421762467e-01 7.659272719812664221e-01 -1.385975886983892291e-01 3.566562970214534056e-01 3.355314197400428577e-01 8.608166808666194436e-01 
6.062319999999999709e+00 5.112670848409234248e-01 5.083922566329489579e-01 7.637683410527527084e-01 -1.370206521152552981e-01 3.568650590500660469e-01 3.304675445635564812e-01 8.629389144095267472e-01 
6.162559998999999955e+00 5.662691314390526642e-01 5.571367649209142403e-01 7.653179418196155437e-01 -1.351837207950924991e-01 3.573568766961781051e-01 3.242730314425700811e-01 8.653716674805390641e-01 
6.262879998999999920e+00 6.155617417194821916e-01 5.981587560689934913e-01 7.622021248052591735e-01 -1.325256761734922573e-01 3.586258255897701863e-01 3.192059438886221678e-01 8.671399686613716629e-01 
6.370120000000000005e+00 6.730206271071509372e-01 6.493837990039397212e-01 7.620862748213392823e-01 -1.293780484461228286e-01 3.605057940064996802e-01 3.109649735389350411e-01 8.698260606517845828e-01 
6.470400000999999790e+00 7.189571698086523188e-01 6.827208894003223838e-01 7.682182298291644340e-01 -1.253176876622417724e-01 3.601303764057454115e-01 3.037595941538365762e-01 8.731159118910835071e-01 
6.570719999999999672e+00 7.573368053921104570e-01 7.147404649233864982e-01 7.694826271660649697e-01 -1.230617642949256019e-01 3.618561505532456035e-01 2.958044772985012894e-01 8.754515047531897798e-01 
6.671000001000000346e+00 8.077839212564124072e-01 7.506304399522205628e-01 7.688263642038348777e-01 -1.186239031373354097e-01 3.633719796283146897e-01 2.873733171147086485e-01 8.782399718328739446e-01 
6.771200000000000330e+00 8.535073871474925244e-01 7.819906153143573180e-01 7.692559077507329368e-01 -1.139741737391393450e-01 3.649901505119270695e-01 2.780343544159042946e-01 8.811859468939273743e-01 
6.871400000999999591e+00 8.984501343109833060e-01 8.000941740466264163e-01 7.687769715042556129e-01 -1.092727689376362110e-01 3.665425713396641139e-01 2.647616897639024081e-01 8.852157649335131717e-01 
6.971639999999999837e+00 9.485984377352644215e-01 8.215356260790367404e-01 7.715651834846022350e-01 -1.023781851022775302e-01 3.678665065190350192e-01 2.539269966481222940e-01 8.886583811898478569e-01 
7.071880000000000166e+00 9.861472163199125340e-01 8.605522943601022767e-01 7.729087455558402153e-01 -9.882536541815573061e-02 3.690427937555885163e-01 2.401280580659279351e-01 8.924007937835871651e-01 
7.172119999999999607e+00 1.026266746971467692e+00 8.858630865543983823e-01 7.713552855697153321e-01 -9.321212020961773537e-02 3.704247564644486124e-01 2.277282384215535138e-01 8.956765863629289059e-01 
