# timestamp tx ty tz qx qy qz qw
4.640040001000000025e+00 -3.928933146955607136e-01 -3.894291802306212302e-01 5.200044042324232230e-01 -1.978218557513046916e-03 -3.242309990288402138e-03 9.238895380750095088e-01 -3.826406500595357363e-01 
4.740040000999999670e+00 -3.864742749760005647e-01 -3.597423951852980473e-01 5.062234090847513857e-01 -1.330556371242908043e-03 -1.264978047773887646e-03 9.228595643982958618e-01 -3.851324777450531589e-01 
4.840040001000000203e+00 -3.848562300811214643e-01 -3.690808606043685658e-01 5.047546340106274787e-01 6.696613886479484839e-05 -1.556464818986970497e-03 9.232355694817702130e-01 -3.842314767710325318e-01 
4.940040000999999847e+00 -3.908589211887702475e-01 -3.724735735409379078e-01 5.025429691410732147e-01 1.204665212958268804e-03 -2.006187716609402882e-03 9.234190323475517381e-01 -3.837863810195119019e-01 
5.040200000999999652e+00 -3.750079323921101104e-01 -3.584194421649427587e-01 5.085013492618463138e-01 5.606278087340924553e-04 -8.617767143117609154e-05 9.229426554955904027e-01 -3.849372734638583649e-01 
5.170119999999999827e+00 -3.876502659745671986e-01 -2.463160406890460008e-01 5.105615627272063195e-01 -1.704499957657023071e-03 5.666439858570721140e-04 9.137333411522368110e-01 -4.063106280008332294e-01 
5.280160000999999603e+00 -4.843074370804007489e-01 -3.726167404074770539e-02 5.072377999287474015e-01 -1.110641758689202277e-03 1.125793712036195562e-03 9.089387244869115978e-01 -4.169269309563515269e-01 
5.380519998999999665e+00 -6.861237598756985134e-01 1.946616097160336345e-01 5.061047782508942827e-01 -1.163356322708402474e-03 1.493919255633147265e-03 9.062970818615435631e-01 -4.226371798383910527e-01 
5.480800000000000338e+00 -9.888874001042944339e-01 4.592813845133824624e-01 5.061539583019478705e-01 -1.173341566640119618e-04 5.890257835096602201e-04 9.047564077335221722e-01 -4.259291648990810586e-01 
5.581039999999999779e+00 -1.366444697187122692e+00 7.484823526600777877e-01 5.148445238156307280e-01 -1.446999058526050787e-03 5.650122205281737833e-04 9.068402741786845134e-01 -4.214717969777069806e-01 
5.681200000000000472e+00 -1.817160881827513119e+00 1.113522270613874987e+00 5.216085506121175275e-01 -1.329957136329989933e-03 -9.380838202978117562e-05 9.124928743038442924e-01 -4.090906358301119039e-01 
5.781400000999999733e+00 -2.415308880945106207e+00 1.513273794490489266e+00 5.241952027077335652e-01 -4.626445189826620431e-03 1.090363695435802921e-03 9.221994357351448457e-01 -3.866856338252981362e-01 
5.881679999000000159e+00 -3.120210508350499623e+00 1.961384997383126549e+00 5.170915717899251529e-01 -2.848152703702346022e-03 -1.138529319573275200e-04 9.417356438878567992e-01 -3.363421229343482310e-01 
5.982000001000000289e+00 -3.977216632048948153e+00 2.527242313277168861e+00 4.922058226481699217e-01 1.000868821546234237e-02 -1.519883175783229203e-03 9.648340418694231202e-01 -2.626651087038870402e-01 
6.082200000000000273e+00 -4.856005841307206694e+00 3.202585196372860654e+00 4.816062788352186708e-01 2.217267573711926253e-03 1.716966823447449789e-02 9.801417485077239533e-01 -1.975414149352525406e-01 
