# timestamp tx ty tz qx qy qz qw
2.429199990000000253e-01 -4.702070037268832325e-01 -4.876474469456710814e-01 4.526953549393943899e-01 -1.266929298549334748e-03 -5.432224575296474125e-04 -9.277665040832739907e-01 3.731586977421464391e-01 
3.429199990000000309e-01 -3.079680311281097760e-01 -3.051096416939598766e-01 5.431940737885763149e-01 -8.371041052834065320e-04 1.015067576641193918e-03 -9.207704952213136007e-01 3.901025045093002297e-01 
4.429199990000000087e-01 -4.001305788715114886e-01 -3.810240858008149267e-01 5.256228744416145959e-01 6.152124826754740324e-03 1.539442058480650034e-03 -9.257996218270354571e-01 3.779614288564146496e-01 
5.428799980000000858e-01 -4.099728228023833965e-01 -3.961611982458940195e-01 5.128850841447071263e-01 -2.341843933491374614e-03 1.419331336377718670e-04 -9.227164027986195505e-01 3.854723539092682616e-01 
6.429199990000000753e-01 -3.983257686109717421e-01 -3.955026812641380118e-01 5.067474197145365178e-01 8.325472343153048939e-04 1.272613855612714543e-04 -9.241625097639519781e-01 3.819986206996510147e-01 
7.429199990000000531e-01 -3.959703200701264469e-01 -3.934993836486368468e-01 5.040359893867510932e-01 -3.262180065898124897e-04 -4.947915531953001825e-04 -9.239616672873416370e-01 3.824846221048983641e-01 
8.400400020000000634e-01 -3.915154742322342063e-01 -3.888528244683575608e-01 5.045154488070460186e-01 -3.838239743477886911e-04 -6.058365106403677770e-04 -9.235234814626425148e-01 3.835412165965991216e-01 
9.429199990000000087e-01 -3.877146281737605671e-01 -3.871134381910474875e-01 5.026392690129284357e-01 -3.941673178113754786e-04 -5.048652429981740578e-04 -9.240622144036727548e-01 3.822415645303273712e-01 
1.042919998999999986e+00 -3.862536728884529702e-01 -3.848881866519601180e-01 4.993801502243247481e-01 -9.749866462498538210e-04 -7.013388716456333020e-05 -9.238438495325242972e-01 3.827683191738887603e-01 
1.142760003000000024e+00 -3.895646157129488696e-01 -3.867306561270317800e-01 4.973075264903694115e-01 -9.304888191959703216e-04 -1.183698222651039271e-03 -9.237248096934645991e-01 3.830537938799820630e-01 
1.242919998999999942e+00 -3.851266660810546139e-01 -3.928927741339632851e-01 4.981767547001414997e-01 -5.828922435276612550e-04 -2.127224809693117555e-04 -9.241081825613420841e-01 3.821304514285034371e-01 
1.342919999000000031e+00 -3.872462843729286286e-01 -3.959821386130758514e-01 4.974245068966177685e-01 -5.414546080829561910e-04 -1.420820465516118430e-03 -9.241063296151991180e-01 3.821324111629856302e-01 
