# timestamp tx ty tz qx qy qz qw
1.429199990000000198e-01 -4.244057416140853967e-01 -4.238691672917884734e-01 5.014942177088076436e-01 -1.039105316986459237e-03 -1.490347931714710965e-03 -9.239077513152322840e-01 3.826109854445028935e-01 
2.429199990000000253e-01 -3.649550519896589962e-01 -3.524697544692104167e-01 4.938222871869123454e-01 -7.304163686912417157e-04 1.095411908726660888e-05 -9.235406452422120216e-01 3.834998604400453592e-01 
3.429199990000000309e-01 -3.842606971729038978e-01 -3.867069706227478365e-01 5.021870516291476738e-01 -6.165519678127416364e-04 -4.064199403454626155e-04 -9.238017062494806586e-01 3.828705554323175164e-01 
4.429199990000000087e-01 -3.923976413483664105e-01 -3.906491790556518851e-01 5.009019290568313965e-01 -8.506579938634628796e-04 2.233327512188604150e-04 -9.240094141553691909e-01 3.823687082590712105e-01 
5.429199989999999865e-01 -3.942245099104373374e-01 -3.897057939508868918e-01 5.004090862080716740e-01 -7.919256495070619217e-04 -5.550575492188219735e-04 -9.237207071407579351e-01 3.830654251746835048e-01 
6.429199990000000753e-01 -3.931892800543894118e-01 -3.865904758404872799e-01 5.014934869730903744e-01 -8.286512906095006752e-04 -2.994846129744733521e-04 -9.235685658078189864e-01 3.834322989755729605e-01 
7.429199990000000531e-01 -3.896045703761902290e-01 -3.858489308848593868e-01 5.000443386238397903e-01 -7.237421117477164240e-04 -5.421497698047898078e-04 -9.237000396785371992e-01 3.831154120742877311e-01 
8.400000010000000517e-01 -3.890689134011164896e-01 -3.859866092910979596e-01 5.032258432824296968e-01 -2.380485282972410587e-04 -8.756248947942459450e-04 -9.237420322271642226e-01 3.830141440087697635e-01 
9.428799980000001080e-01 -3.902352702161738240e-01 -3.841742478177728182e-01 5.065832859720487136e-01 -3.962385455865169740e-04 4.253259580091794164e-04 -9.238816460591419144e-01 3.826778882662219550e-01 
1.042879998000000086e+00 -3.877809007956068976e-01 -3.877857829518412958e-01 5.031688821686194357e-01 -3.980562993672317812e-04 -3.125404290300537111e-04 -9.238407097063693341e-01 3.827768108949322068e-01 
